Study,Substudy,Beta,Variance,Author,Year,Citation,DOI,g_sp,Duration,mean_density
55,205,21.206,3.21592,"Schmitt, RJ",2007,"Schmitt, RJ (2007). The scale and cause of spatial heterogeneity in strength of temporal density dependence. *Ecology*.",10.1890/06-0970,Dascyllus_flavicaudus,2,66.05
69,249,124.366,644,Stier,2007,Stier (2007). . **.,,Pomacentrus_pavo,4,12.916666666666668
68,248,611.111,2370,"White, JW",2007,"White, JW (2007). Safety in numbers and the spatial scaling of density-dependent mortality in a coral reef fish. *Ecology*.",10.1890/06-1949.1,Thalassoma_bifasciatum,29.54545455,0.6009090908181818
80,276,225.253,2760,"Johnson, DW",2008,"Johnson, DW (2008). Combined effects of condition and density on post-settlement survival and growth of a marine fish. *Oecologia*.",10.1007/s00442-007-0882-0,Stegastes_partitus,30,0.8333333334999999
80,277,351.717,6730,"Johnson, DW",2008,"Johnson, DW (2008). Combined effects of condition and density on post-settlement survival and growth of a marine fish. *Oecologia*.",10.1007/s00442-007-0882-0,Stegastes_partitus,30,0.8333333334999999
57,209,95.455,19.2,"White, JW",2008,"White, JW (2008). Scale-dependent changes in the importance of larval supply and habitat to abundance of a reef fish. *Ecology*.",10.1890/07-0840.1,Paralabrax_clathratus,362.1875,0.06916611875
74,258,-11.297,8.85,"Bonin, MC",2009,"Bonin, MC (2009). Interactive effects of interspecific competition and microhabitat on early post-settlement survival in a coral reef fish. *Coral Reefs*.",10.1007/s00338-008-0451-y,Chrysiptera_parasema,5,18.666666666666668
74,259,138.586,12668.4,"Bonin, MC",2009,"Bonin, MC (2009). Interactive effects of interspecific competition and microhabitat on early post-settlement survival in a coral reef fish. *Coral Reefs*.",10.1007/s00338-008-0451-y,Chrysiptera_parasema,5,18.666666666666668
74,260,14.991,81.4,"Bonin, MC",2009,"Bonin, MC (2009). Interactive effects of interspecific competition and microhabitat on early post-settlement survival in a coral reef fish. *Coral Reefs*.",10.1007/s00338-008-0451-y,Dascyllus_melanurus,5,16
74,261,4.642,24.1,"Bonin, MC",2009,"Bonin, MC (2009). Interactive effects of interspecific competition and microhabitat on early post-settlement survival in a coral reef fish. *Coral Reefs*.",10.1007/s00338-008-0451-y,Dascyllus_melanurus,5,16
58,212,1295.96,160346.5,"Geange, SHANEW",2009,"Geange, SHANEW (2009). Order of arrival affects competition in two reef fishes. *Ecology*.",10.1890/08-0630.1,Thalassoma_hardwicke,7,2
60,214,525.245,77447.8,"Geange, SHANEWALLACE",2010,"Geange, SHANEWALLACE (2010). Priority effects and habitat complexity affect the strength of competition. *Oecologia*.",10.1007/s00442-009-1554-z,Thalassoma_quinquevittatum,5,2.01793722
60,215,1118.182,69896,"Geange, SHANEWALLACE",2010,"Geange, SHANEWALLACE (2010). Priority effects and habitat complexity affect the strength of competition. *Oecologia*.",10.1007/s00442-009-1554-z,Thalassoma_quinquevittatum,5,2.01793722
62,225,0.652,0.0247,"Bostrom-Einarsson, L",2013,"Bostrom-Einarsson, L (2013). Strong intraspecific competition and habitat selectivity influence abundance of a coral-dwelling damselfish. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/j.jembe.2013.06.017,Chrysiptera_parasema,60,74.97366666666666
63,226,3.848,0.0316,"Ford, JR",2013,"Ford, JR (2013). Two's company, three's a crowd: food and shelter limitation outweigh the benefits of group living in a shoaling fish. *Ecology*.",10.1890/12-1891.1,Trachinops_caudimaculatus,14,46.75
61,220,370.491,74527.5,"Stier, AC",2013,"Stier, AC (2013). Predator density and competition modify the benefits of group formation in a shoaling reef fish. *Oikos*.",10.1111/j.1600-0706.2012.20726.x,Thalassoma_amblycephalum,6,8.25
61,221,-182.63,72957.4,"Stier, AC",2013,"Stier, AC (2013). Predator density and competition modify the benefits of group formation in a shoaling reef fish. *Oikos*.",10.1111/j.1600-0706.2012.20726.x,Thalassoma_amblycephalum,6,2.999999999875
61,222,313.112,5290,"Stier, AC",2013,"Stier, AC (2013). Predator density and competition modify the benefits of group formation in a shoaling reef fish. *Oikos*.",10.1111/j.1600-0706.2012.20726.x,Thalassoma_amblycephalum,6,8.25
61,223,113.641,704,"Stier, AC",2013,"Stier, AC (2013). Predator density and competition modify the benefits of group formation in a shoaling reef fish. *Oikos*.",10.1111/j.1600-0706.2012.20726.x,Thalassoma_amblycephalum,6,8.25
61,224,-282.424,3650,"Stier, AC",2013,"Stier, AC (2013). Predator density and competition modify the benefits of group formation in a shoaling reef fish. *Oikos*.",10.1111/j.1600-0706.2012.20726.x,Thalassoma_amblycephalum,6,2.999999999875
76,265,1.642,0.135,"Bostrom-Einarsson, L",2014,"Bostrom-Einarsson, L (2014). Habitat degradation modifies the strength of interspecific competition in coral dwelling damselfishes. *Ecology*.",,Chrysiptera_parasema,60,48.10861423
76,266,-8.286,0.251,"Bostrom-Einarsson, L",2014,"Bostrom-Einarsson, L (2014). Habitat degradation modifies the strength of interspecific competition in coral dwelling damselfishes. *Ecology*.",,Chrysiptera_parasema,60,53.925925926666665
76,267,0.506,0.0119,"Bostrom-Einarsson, L",2014,"Bostrom-Einarsson, L (2014). Habitat degradation modifies the strength of interspecific competition in coral dwelling damselfishes. *Ecology*.",,Dascyllus_melanurus,60,49.583333335
76,268,-1.2,0.017,"Bostrom-Einarsson, L",2014,"Bostrom-Einarsson, L (2014). Habitat degradation modifies the strength of interspecific competition in coral dwelling damselfishes. *Ecology*.",,Dascyllus_melanurus,60,44.668508287499996
67,244,165.666,28751.6,"Ford, JR",2016,"Ford, JR (2016). Interactive effects of shelter and conspecific density shape mortality, growth, and condition in juvenile reef fish. *Ecology*.",10.1002/ecy.1436,Trachinops_caudimaculatus,90,0.5020802005
67,245,12.012,54.5,"Ford, JR",2016,"Ford, JR (2016). Interactive effects of shelter and conspecific density shape mortality, growth, and condition in juvenile reef fish. *Ecology*.",10.1002/ecy.1436,Trachinops_caudimaculatus,90,2.6159592645
67,246,24.525,2276826664e6,"Ford, JR",2016,"Ford, JR (2016). Interactive effects of shelter and conspecific density shape mortality, growth, and condition in juvenile reef fish. *Ecology*.",10.1002/ecy.1436,Trachinops_caudimaculatus,90,3.570646356
